receptor	origin	bbb_top_celltype	bbb_top_rho	any_top_celltype	any_top_rho	n_strong	n_ligands	n_measured	n_sig	best_ligand	best_q	best_coef	weighted_neglogq	dir_consistency	dir_total	all_sig_ligands	hs_concordant	hs_tested	hs_top_celltype	hs_top_log2FC	dir_rate	combined_z	empirical_p	bonus_bbb	final_score	rank
BMPR1A	aging-lost	EC	0.8857142857142858	OPC	0.942857142857143	5	20	6	4	BMP7	1.3704207782134e-09	0.000871281362016531	8.863146065253423	4	4	BMP10;GDF5;BMP6;BMP7	1	1	endo	0.665228629098842	1.0	2.2972955156819843	0.112	0.5	2.7972955156819843	1
LRP6	aging-gained	PC	0.942857142857143	PC	0.942857142857143	6	14	5	4	SOST	2.8903e-320	0.00735006242203412	300.0	1	2	SOST;RSPO3;APOB;DKK1	0	0		0.0	0.5	1.8812716414915243	0.402	0.5	2.3812716414915243	2
NPR1	AGA-induced	EC	-0.8857142857142858	ASC	-1.0	9	2	2	2	NPPB	3.51408974452104e-85	0.0060990952857168	126.68128072721531	0	2	NPPA;NPPB	0	0		0.0	0.0	1.5731645846995548	0.765	0.5	2.073164584699555	3
NRP2	aging-gained	PC	0.6	NendC	0.942857142857143	3	10	7	3	VEGFA	1.67549719451414e-36	0.00102869222353373	53.66378444252915	2	2	VEGFC;VEGFA;SEMA3A	0	0		0.0	1.0	1.497920761065332	0.861	0.5	1.997920761065332	4
FZD2	RJV-restored;aging-lost	ABC	-0.7142857142857143	NendC	-1.0	5	9	4	3	SFRP1	1.14119078808833e-19	0.00130958423780666	28.413962614064175	1	3	SFRP1;ROR1;ROR2	0	0		0.0	0.3333333333333333	1.3714087205013221	0.924	0.5	1.8714087205013221	5
FLT1	aging-lost	CPC	0.8804062740424288	NSC	0.8986451052612952	7	8	4	3	VEGFA	1.67549719451414e-36	0.00102869222353373	53.66378444252915	2	2	VEGFC;PLG;VEGFA	0	0		0.0	1.0	1.264276150512949	0.965	0.5	1.764276150512949	6
ITGB2	RJV-restored;aging-lost	PC	0.9411239481143202	PC	0.9411239481143202	5	27	14	9	F10	1.13327162983644e-24	-0.00100745096297284	35.918498974745454	1	1	SELPLG;APOB;PROC;FGA;PLG;HP;MMP9;PLAU;F10	0	0		0.0	1.0	1.1614812298314834	0.982	0.5	1.6614812298314834	7
KDR	aging-lost	VSMC	0.7142857142857143	MAC	0.8804062740424288	2	12	3	3	VEGFA	1.67549719451414e-36	0.00102869222353373	53.66378444252915	3	3	VEGFA;VEGFC;CXCL8	0	0		0.0	1.0	1.0436918267966393	0.997	0.5	1.5436918267966393	8
NOTCH4	aging-lost	DC	-0.8857142857142858	DOPA	0.942857142857143	5	9	5	1	DLK1	2.34542602247887e-41	0.0026950959509461	60.9446673909965	0	0	DLK1	0	0		0.0	0.0	0.7787649313774084	1.0	0.5	1.2787649313774083	9
CXCR4	RJV-restored;aging-lost	MNC	-0.8857142857142858	ASC	-1.0	11	5	4	3	TGFB1	2.11710873116206e-09	0.000886615005347404	8.67425683676988	0	1	CXCL14;TGFB1;CEL	0	0		0.0	0.0	0.7327164418571294	1.0	0.5	1.2327164418571295	10
ITGB1	aging-gained	MNC	0.8285714285714287	MNC	0.8285714285714287	2	81	19	10	VEGFA	1.67549719451414e-36	0.00102869222353373	53.66378444252915	2	3	TGFB1;TGFB3;SEMA7A;PLG;PLAU;VEGFC;MDK;ANGPT1;VEGFA;FGA	0	0		0.0	0.6666666666666666	0.5903410693194683	1.0	0.5	1.0903410693194684	11
EDNRA	RJV-restored;aging-lost	EC	0.3714285714285715	NSC	0.8285714285714287	1	5	2	2	LTA	3.66735582212648e-13	-0.00100939087720397	12.435646950936812	1	1	LTA;EDN2	0	0		0.0	1.0	0.5894628925279465	1.0	0.5	1.0894628925279464	12
FZD4	aging-lost	PC	0.7714285714285715	Hb_VC	0.8857142857142858	3	8	3	2	ROR1	0.000612518132140022	0.000370530399024545	3.212881050519675	2	2	ROR1;ROR2	0	0		0.0	1.0	0.5747878516129845	1.0	0.5	1.0747878516129845	13
OPRL1	aging-lost	EC	0.8285714285714287	GABA	-0.8285714285714287	3	4	2	2	POMC	1.53087302852629e-07	0.000933556949151565	10.222591242656518	1	1	POMC;PENK	0	0		0.0	1.0	0.5437909134164657	1.0	0.5	1.0437909134164656	14
